,transcript,user_action
0,active igtl like an the entire house,SwitchLightOn
1,activate basement lights,SwitchLightOn
2,a djust the bedroom light in tentity of thirty nine,SetLightBrightness
3,can you please change the light color to pink,SetLightColor
4,said the rightness to file,SetLightBrightness
5,set the brightness to twelve,SetLightBrightness
6,set the brightness to twenty,SetLightBrightness
7,then the brak as wit randetovis,SetLightBrightness
8,set the sellar to two,SetLightBrightness
9,set the cellar light to twelve,SetLightBrightness
10,set the cellar lights to two,SetLightBrightness
11,said the entire apartment like to dwo,SetLightBrightness
12,set the entrange lighting in tensidy to twelve,SetLightBrightness
13,set the endrance light to a brighter setting,IncreaseBrightness
14,can you please lower the lights for me,DecreaseBrightness
15,sed the facilatis lihts to twety nine,SetLightBrightness
16,set the gard in brightness ti level twelve,SetLightBrightness
17,set the hallway lights to pink please,SetLightColor
18,set the intensity of the toilet lighting to two,SetLightBrightness
19,set the kid's bedroom lights to five,SetLightBrightness
20,set the launger room lying to tem per cent,SetLightBrightness
21,set the lit breatness lavele to twenty,SetLightBrightness
22,set the light color to blue,SetLightColor
23,set the lights dimmer in the office,DecreaseBrightness
24,and you please set the bathroom lights to five,SetLightBrightness
25,shut the lights in the laundry room to level two,SetLightBrightness
26,set the lights in the laundy room to seventy three,SetLightBrightness
27,set the lights in toilets to red,SetLightColor
28,set the lights to a higher intensity,IncreaseBrightness
29,set the lights to a higher intensity in the changing room,IncreaseBrightness
30,set the lights to a higher intensity in the living room,IncreaseBrightness
31,set the lights to a las bright satin,DecreaseBrightness
32,set the lights to a lower intensity,DecreaseBrightness
33,set the lights to green in the large reeting room,SetLightColor
34,turned the liht's intensity to twenty two per cent,SetLightBrightness
35,turn the lights blue,SetLightColor
36,can you turn off the lights in the cellar,SwitchLightOff
37,turn the lights down in the back yard,DecreaseBrightness
38,turn the lights down in the dining room,DecreaseBrightness
39,turn the lights down in the living room,DecreaseBrightness
40,un de lady's grin,SetLightColor
41,torned the lights in the garden off,SwitchLightOff
42,carm the lihts in the large meting room pik,SetLightColor
43,tan the lights in the waiting room tor five,SetLightBrightness
44,turned the light in the waiting room to thirty nine,SetLightBrightness
45,turn the lights off,SwitchLightOff
46,turn the lights off in the basement,SwitchLightOff
47,can you turn off the lights in the parting room,SwitchLightOff
48,turn the lights ufp in the dining room,SwitchLightOff
49,turn the lights off in the dining room,SwitchLightOff
50,turn the lights off in the laundyroom,SwitchLightOff
51,turn the lights off in the office,SwitchLightOff
52,turn the lights off in shed,SwitchLightOff
53,turn the lights off in the toilet,SwitchLightOff
54,turn the lades off lau,SwitchLightOff
55,turn the lights off,SwitchLightOff
56,from the lights on,SwitchLightOn
57,turned the lights on above the toilets,SwitchLightOn
58,can you turn off the lights please,SwitchLightOff
59,urn the light on everywhere,SwitchLightOn
60,turn the light on department,SwitchLightOn
61,turn the light on in the bedroom,SwitchLightOn
62,turned the light on in e changing room,SwitchLightOn
63,turn the lights on in the kitchen,SwitchLightOn
64,turned the lights on in the meeting room,SwitchLightOn
65,turn the light sun in the pantry,SwitchLightOn
66,turn the lights on in a small meeting room,SwitchLightOn
67,turn the lights on in the studio,SwitchLightOn
68,done the light on now,SwitchLightOn
69,a't jist the brightness to level then,SetLightBrightness
70,can ye turn off the lights,SwitchLightOff
71,turn the lights on pink,SetLightColor
72,turn the lights on please,SwitchLightOn
73,dowin the life on the kitchen,SwitchLightOn
74,done the light on,SwitchLightOn
75,turn the lights pink please,SetLightColor
76,turned the lights read in the bedroom,SetLightColor
77,turned the lights to a darker setting in the office,DecreaseBrightness
78,turn the lights to a higher setting,IncreaseBrightness
79,turn the lights to a lower setting,DecreaseBrightness
80,o lad stood bou in the house,SetLightBrightness
81,can ye turn on bathrem lihe,SwitchLightOn
82,turn the late supper notch in the cellar,IncreaseBrightness
83,turn the lights up and otch please,IncreaseBrightness
84,turn the lights up in the entrance,IncreaseBrightness
85,torren the latop in the leue,IncreaseBrightness
86,turned the lights up into studio,IncreaseBrightness
87,turn the lights up in the toilets,IncreaseBrightness
88,turn the living room wite up,IncreaseBrightness
89,turned te lounge lights red,SetLightColor
90,turned the apatio light pink,SetLightColor
91,can you town on the light,SwitchLightOn
92,turn the studio lights on,SwitchLightOn
93,turn the studio wite the thirty nine,SetLightBrightness
94,turn the vestibule lights to two,SetLightBrightness
95,turn the vestibule lights up,IncreaseBrightness
96,turn on the waiting room brightness to two,SetLightBrightness
97,er dingrolage to saimen degri,SetLightBrightness
98,turn twilet romlights on,SwitchLightOn
99,turn up the brightness,IncreaseBrightness
100,turn up the brightness and the changing room,IncreaseBrightness
101,turn up the lighting,IncreaseBrightness
102,can you turn to brightness dowt into the back yard,DecreaseBrightness
103,turn up the lights,IncreaseBrightness
104,turn up the lights in the cella,IncreaseBrightness
105,turn up to light in the kid's room,IncreaseBrightness
106,turn up the lights in the kitchen,IncreaseBrightness
107,turn up the lights in the pantry,IncreaseBrightness
108,turn up the lights in the parking,IncreaseBrightness
109,turn up the lights in the patio,IncreaseBrightness
110,tan ap the light in the tarlets,IncreaseBrightness
111,torn up the lates,IncreaseBrightness
112,can you turn the brightness to ten,SetLightBrightness
113,turn up the lights,IncreaseBrightness
114,turned vegetible lighting on,SwitchLightOn
115,we have a large meeting room i need some red lights in there,SetLightColor
116,we need the bults turned brighter in this room,IncreaseBrightness
117,what do i need to do to get the dining room to fifty brightness,SetLightBrightness
118,will you increase the breakness please,IncreaseBrightness
119,will you make the entrance lights read for the afternoon,SetLightColor
120,we you set the changing room to fifty brightness,SetLightBrightness
121,would you please turn down the brightness,DecreaseBrightness
122,would you please turn on the lights and my cubicle,SwitchLightOn
123,can you tarn break us up in the bedroom,IncreaseBrightness
124,would you switch my kitchen letting to on,SwitchLightOn
125,would you turn on my basement lights,SwitchLightOn
126,would you turn on my basement lights,SwitchLightOn
127,a just brightness of lounge lights to a value of twenty two,SetLightBrightness
128,all lates off,SwitchLightOff
129,all lights off please,SwitchLightOff
130,basement light should be set to twelve,SetLightBrightness
131,basement lights should be turned on,SwitchLightOn
132,bartrom bretna too twenty two,SetLightBrightness
133,batrom is too dark increased a greatness,IncreaseBrightness
134,can you turn the sillar la on,SwitchLightOn
135,drot from lights off,SwitchLightOff
136,bedroom brightness to two please,SetLightBrightness
137,bedroom light down,DecreaseBrightness
138,boardroom is dark please turn on lights,SwitchLightOn
139,brighton lat and kitchen,IncreaseBrightness
140,brighten up the cubicle,IncreaseBrightness
141,bring up the lights,IncreaseBrightness
142,can you give me some light please,SwitchLightOn
143,can you give me some light please in the kitchen,SwitchLightOn
144,can you give me some lights,SwitchLightOn
145,could you turn to cubrica light to twenty two,SetLightBrightness
146,can you increase the brightness,IncreaseBrightness
147,can you increase the brightness in the laundry room,IncreaseBrightness
148,can you increase the brightness of the entire house,IncreaseBrightness
149,can you make the bedroom a little darker if possible,DecreaseBrightness
150,can you make the light go blue,SetLightColor
151,you please turn all the light,SwitchLightOn
152,en nee turned down the lights and here,DecreaseBrightness
153,can you turne off the sellar lights,SwitchLightOff
154,can you trut off the house lights,SwitchLightOff
155,you turn off the kats bedroom lights,SwitchLightOff
156,can you turn the lights down one notch,DecreaseBrightness
157,can you tand the lag ston,DecreaseBrightness
158,turinto a lights to pincoler,SetLightColor
159,change on st backyard lates to brightness setting aff tol,SetLightBrightness
160,change bedroom lighting to pink,SetLightColor
161,chaned breatness of lights in the tilets to tonty present,SetLightBrightness
162,changed their color of bathanligts to pink,SetLightColor
163,ting into the lot of gadis laid stooping,SetLightColor
164,change limp to pink,SetLightColor
165,change lighting to pink,SetLightColor
166,changed lights to blue,SetLightColor
167,then he turned the lights off,SwitchLightOff
168,change lights to pink,SetLightColor
169,cining the galles leds to pink,SetLightColor
170,change delight to pink,SetLightColor
171,change the pasio like to pink,SetLightColor
172,change the passio lihes to green,SetLightColor
173,change the wad,SetLightColor
174,changing room lights off clease,SwitchLightOff
175,glose are lates in the kitchs room,SwitchLightOff
176,create mood and bedroom turne lights to red,SetLightColor
177,cut off the lates in riched bule,SwitchLightOff
178,adjust of brightness to seventy three,SetLightBrightness
179,change all of the garden lighting between di are,SetLightBrightness
180,darken the light in the toilet,DecreaseBrightness
181,decrees brightness in cellar,DecreaseBrightness
182,decrease brightness in the basemoon,DecreaseBrightness
183,decrees brightness of bathroom light,DecreaseBrightness
184,decrease brightness please,DecreaseBrightness
185,decreased lights in laundry room to all the way off,SwitchLightOff
186,decreased telight in the small meeting room,DecreaseBrightness
187,gem the basement,DecreaseBrightness
188,im the bedroom light,DecreaseBrightness
189,dimm the boldroon,DecreaseBrightness
